[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,4.0
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,07/21/2022
ScenarioTime,10:45 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,2744430,544690,0,,,,,,
6,1,2746791,547173,0,,,,,,
27,0,2739327,544955,0,,,,,,
28,0,2739171,544839,0,,,,,,
30,0,2740351,546983,0,,,,,,
53,0,2744245,548222,0,,,,,,
56,1,2743783,549755,0,,,,,,
62,1,2751713,545226,0,,,,,,
63,1,2751599,544824,0,,,,,,
64,1,2751617,544454,0,,,,,,
73,0,2744659,547081,0,,,,,,
74,0,2744777,545723,0,,,,,,
75,0,2744382,543729,0,,,,,,
76,0,2744866,544559,0,,,,,,
77,0,2743689,542539,0,,,,,,
79,0,2751162,545543,0,,,,,,
80,0,2751209,545208,0,,,,,,
81,0,2751085,544810,0,,,,,,
82,0,2751081,544442,0,,,,,,
108,1,2742383,539889,0,,,,,,
271,1,2751135,543063,0,,,,,,
278,1,2749963,546225,0,,,,,,
279,0,2749991,545509,0,,,,,,
280,0,2750017,544763,0,,,,,,
283,0,2750097,544391,0,,,,,,
289,0,2748959,545450,0,,,,,,
291,0,2748785,544339,0,,,,,,
293,1,2748873,542764,0,,,,,,
298,1,2747867,547225,0,,,,,,
300,0,2747955,545349,0,,,,,,
304,1,2746791,547173,0,,,,,,
306,0,2746771,545298,0,,,,,,
307,0,2746799,544630,0,,,,,,
309,0,2746807,544442,0,,,,,,
319,0,2746160,543966,0,,,,,,
320,0,2746109,545273,0,,,,,,
321,0,2746194,543315,0,,,,,,
323,0,2746135,544618,0,,,,,,
326,0,2746147,544412,0,,,,,,
330,0,2746226,542636,0,,,,,,
333,1,2746284,541321,0,,,,,,
338,1,2745307,548270,0,,,,,,
339,0,2745323,545243,20,,,,,,
340,0,2745345,544581,0,,,,,,
344,0,2744191,545206,0,,,,,,
353,0,2743585,542331,0,,,,,,
355,0,2742785,545140,0,,,,,,
360,0,2742073,546060,0,,,,,,
361,0,2742119,545104,0,,,,,,
362,0,2742151,544438,0,,,,,,
366,0,2742258,542469,0,,,,,,
368,1,2742383,539889,0,,,,,,
369,0,2742023,547068,0,,,,,,
371,0,2741486,544404,0,,,,,,
372,0,2741360,547040,0,,,,,,
376,0,2740756,545993,0,,,,,,
378,0,2740811,545039,0,,,,,,
379,0,2740851,544371,0,,,,,,
381,0,2740720,543036,0,,,,,,
382,0,2740703,542390,0,,,,,,
388,0,2740707,547000,0,,,,,,
393,1,2740121,542361,0,,,,,,
394,1,2739837,546963,0,,,,,,
401,0,2738091,544887,0,,,,,,
421,0,2737193,544858,0,,,,,,
428,0,2735883,544806,0,,,,,,
432,0,2735363,544772,0,,,,,,
437,0,2734197,544726,0,,,,,,
438,1,2734133,546052,0,,,,,,
443,0,2732891,544664,0,,,,,,
447,1,2732911,544069,0,,,,,,
458,1,2732071,544634,0,,,,,,
602,0,2748787,544705,0,,,,,,
621,1,2740689,547512,0,,,,,,
738,1,2732855,545543,0,,,,,,
771,1,2745648,543943,0,,,,,,
1008,1,2751344,546047,0,,,,,,
1102,0,2749668,544736,0,,,,,,
1103,0,2750517,544786,0,,,,,,
1155,0,2744887,542585,0,,,,,,
1172,1,2746854,543341,0,,,,,,
1173,1,2746887,542668,0,,,,,,
1177,0,2747980,544680,0,,,,,,
1220,0,2738949,544937,0,,,,,,
1234,1,2745294,545758,0,,,,,,
1409,1,2744174,545716,0,,,,,,
1413,1,2742774,545656,0,,,,,,
1414,1,2742798,544634,0,,,,,,
1425,1,2738109,544268,0,,,,,,
1426,1,2738069,545398,0,,,,,,
1428,1,2737184,545362,0,,,,,,
1430,1,2735861,545313,0,,,,,,
1432,1,2735230,544090,0,,,,,,
1435,1,2736180,544400,0,,,,,,
1450,1,2741997,547575,0,,,,,,
1458,1,2748972,544928,0,,,,,,
1466,1,2744034,547061,0,,,,,,
1477,1,2750741,544040,0,,,,,,
1483,1,2748937,546019,0,,,,,,
1486,1,2745342,545757,0,,,,,,
1503,1,2744274,545703,0,,,,,,
1559,1,2743615,541822,0,,,,,,
1564,1,2745357,544074,0,,,,,,
1566,3,2744445,544542,0,,,,,,
1570,2,2744899,543268,0,,,,,,
1571,1,2744363,544244,0,,,,,,
1604,1,2747989,544179,0,,,,,,
1607,1,2740318,547651,0,,,,,,
1612,1,2739547,545452,0,,,,,,
1626,1,2740116,546543,0,,,,,,
1639,1,2743248,548180,0,,,,,,
1670,1,2738767,544407,0,,,,,,
1688,1,2743376,542797,0,,,,,,
1770,1,2744913,542054,0,,,,,,
1771,1,2744865,543087,0,,,,,,
1817,1,2746081,545840,0,,,,,,
1832,2,2740481,544347,0,,,,,,
1833,1,2741219,543080,0,,,,,,
1835,3,2744217,544542,0,,,,,,
1839,3,2750933,545536,0,,,,,,
1840,1,2741463,544913,0,,,,,,
1843,1,2741507,543898,0,,,,,,
1844,1,2744217,544041,0,,,,,,
1851,1,2742573,546091,0,,,,,,
1864,1,2749661,545269,0,,,,,,
1922,1,2740931,541817,0,,,,,,
1945,1,2746824,543995,0,,,,,,
1949,1,2750537,544274,0,,,,,,
1950,1,2741334,547548,0,,,,,,
1951,1,2741271,546016,0,,,,,,
2026,1,2742681,547097,0,,,,,,
2147,1,2751688,545565,0,,,,,,
2175,3,2745995,544610,0,,,,,,
3045,2,2748004,544497,0,,,,,,
3051,1,2746851,543934,0,,,,,,
7132,1,2750123,543792,0,,,,,,
8382,0,2740900,542403,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,1566,,,,,,,
Lanes,1,1,,,,,,,
Name,1,,,,,,,,
Distance,1,149,,,,,,,
Speed,1,30,,,,,,,
Time,1,3.4,,,,,,,
Grade,1,0,,,,,,,
Median,1,0,,,,,,,
Offset,1,0,,,,,,,
TWLTL,1,0,,,,,,,
Crosswalk Width,1,16,,,,,,,
Mandatory Distance,1,200,,,,,,,
Mandatory Distance2,1,1320,,,,,,,
Positioning Distance,1,880,,,,,,,
Positioning Distance2,1,1760,,,,,,,
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,false,,,,,,,
Street Name Is Hidden,1,false,,,,,,,
Up ID,6,,,73,,,,,
Lanes,6,,,1,,,,,
Name,6,,,California Street,,,,,
Distance,6,,,2134,,,,,
Speed,6,,,30,,,,,
Time,6,,,48.5,,,,,
Grade,6,,,0,,,,,
Median,6,,,12,,,,,
Offset,6,,,0,,,,,
TWLTL,6,,,0,,,,,
Crosswalk Width,6,,,16,,,,,
Mandatory Distance,6,,,200,,,,,
Mandatory Distance2,6,,,1320,,,,,
Positioning Distance,6,,,880,,,,,
Positioning Distance2,6,,,1760,,,,,
